created_at,username,full_text,label
Tue Jan 30 23:44:06 +0000 2024,,@ahmed_maulana88 @kumparan Makanya jangan dukung mereka Kalimantan dibodohi dengan IKN yg hanya nguntungin pejabat aja sudah jadi pun IKN hanya kantor presiden dan ASN bukan tempat tinggal rakyat,Negative
Tue Jan 30 23:42:33 +0000 2024,,IKN !!! Penampakan View Rumah Tapak Jabatan Menteri di KIPP IKN terkini https://t.co/k3KMe8O8RZ via @YouTube,Neutral
Tue Jan 30 23:40:28 +0000 2024,,@UGM_FESS Menurt aku 01 itu mendahulukan prioritas dan mungkin akan tinjau ulang pembangunan IKN ini memang IKN sudah digagas dri lama tapi blum juga direalisasikan brrti ada yg lebih dan harus diprioritaskan dulu,Neutral
Tue Jan 30 23:39:00 +0000 2024,,Apa Itu Pola Kerja Digital yang Diterapkan untuk Fase Pertama Pemindahan ASN ke IKN Nusantara? #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #ASNpindahIKN https://t.co/eOsNiaXHJr lewat @tribunkaltim,Neutral
Tue Jan 30 23:36:01 +0000 2024,,@AiraNtieReal Yang dibutuhkn solusi kang @ridwankamil pemuda pemudi harapan bangsa mereka punya hak Dan masa depannya dan negara harusnya hadir disitu. Bukan diajarkan berhutang hanya sekedar omon omon. Untuk apa IKN sementara anak bangsa di pinjolkan?,Negative
Tue Jan 30 23:35:46 +0000 2024,,@Hansunriko IKN Nusantara🇮🇩️,Neutral
Tue Jan 30 23:35:44 +0000 2024,,@dyingmagnolia_ @MrxStaein52986 @UGM_FESS yang ada di kalimantan khususnya daerah sekitar ikn baru muncul setelah uu ikn. dengan dibangun ikn karena bakal muncul satu pusat kota baru ekonomi daerah sekitarnya justru bakal berdampak banget. ,Positive
Tue Jan 30 23:34:47 +0000 2024,,@kogoromilenial @RTPVX_ @ridwankamil Jakarta gak mau dia kirim aja ke IKN.,Negative
Tue Jan 30 23:34:20 +0000 2024,,@dyingmagnolia_ @MrxStaein52986 @UGM_FESS orang di jalanan. sesepi itu. makanya butuh insentif untuk transmigrasi. kalimantan timur baru sering naik ke publik untuk diperbincangkan setelah ada ikn. jalur kereta kalimantan yang bakal dibangun di 2025 juga,Positive
Tue Jan 30 23:32:30 +0000 2024,,@Hansunriko Dukung IKN,Positive
Tue Jan 30 23:32:08 +0000 2024,,@dyingmagnolia_ @MrxStaein52986 @UGM_FESS karena orangnya kurang kak. kalo dari sisi investor gaada timbal balik yang mungkin didapat kalo bangun ini itu di wilayah sekitar ikn (penajam paser kukar) karena orangnya terlalu dikit. dengan adanya ikn yang me,Positive
Tue Jan 30 23:29:54 +0000 2024,,@Akomeng6 Mantap IKN,Positive
Tue Jan 30 23:28:56 +0000 2024,,bagaimana kalau dana masjid 1 T di ikn dipake buat beasiswa aja bu?,Negative
Tue Jan 30 23:20:55 +0000 2024,,@UGM_FESS Banyak bgt yg kena framming soal 01 gak mau lanjutin IKN lah anti hilirisasi lah. Pdhl sdh dijelaskan berkali2 bahkan soal hilirisasi ada di visi misinya. Tp lawan politik yg selama ini main framming dan banyak jg yg memakannya mentah2.,Negative
Tue Jan 30 23:20:39 +0000 2024,,@jackstr20802415 @KompasTV @prabowo Lah bukannya IKN masih perlu banyak investor asing? Kok jadi plin-plan gini https://t.co/2yvpv0UOC3,Neutral
Tue Jan 30 23:13:10 +0000 2024,,@CNNIndonesia Bagaimana bila dimulai dari Presiden beserta seluruh anggota kabinetnya dites untuk ditempatkan di IKN sampai masa jabatan berakhir. Hanya saran lo yaa jangan baper.....,Negative
Tue Jan 30 23:12:18 +0000 2024,,@manasayatahoe wes cabut ok ikn,Negative
Tue Jan 30 23:11:32 +0000 2024,,@FaraayuM @kompascom @AbanggSayur Lagian Lu juga kaga di ajak di IKN,Neutral
