full_text,label
dukung kalimantan dibodohi ikn nguntungin pejabat aja ikn kantor presiden asn tinggal rakyat,Negative
ikn penampakan view rumah tapak jabatan menteri kipp ikn terkini via,Neutral
menurt mendahulukan prioritas tinjau ulang pembangunan ikn ikn digagas dri blum direalisasikan brrti diprioritaskan,Neutral
pola digital diterapkan fase pemindahan asn ikn nusantara,Neutral
dibutuhkn solusi kang pemuda pemudi harapan bangsa hak depannya negara hadir disitu diajarkan berhutang sekedar omon omon ikn anak bangsa pinjolkan,Negative
ikn nusantara,Neutral
kalimantan daerah ikn muncul uu ikn dibangun ikn muncul pusat kota ekonomi daerah berdampak banget,Positive
jakarta kirim aja ikn,Negative
jalanan sesepi butuh insentif transmigrasi kalimantan timur publik diperbincangkan ikn jalur kereta kalimantan dibangun,Positive
dukung ikn,Positive
orangnya kak kalo sisi investor gaada timbal kalo bangun wilayah ikn penajam paser kukar orangnya dikit ikn me,Positive
mantap ikn,Positive
dana masjid ikn dipake beasiswa aja bu,Negative
bgt framming lanjutin ikn anti hilirisasi pdhl berkali hilirisasi visi misinya lawan politik main framming memakannya mentah,Negative
ikn investor asing plinplan gini,Neutral
presiden beserta anggota kabinetnya dites ditempatkan ikn jabatan saran lo yaa baper,Negative
wes cabut ok ikn,Negative
lu kaga ajak ikn,Neutral
ikn nusantara menteri basuki china teknologi kereta rel studi banding mempelajari maklum pembuatan kereta rel melibatkan perusahaan negeri tirai bambu _ pondok ranji uzbekistan,Neutral
kpk dibawah presiden emang kpk nyali pegawainya mutasi ikn,Negative
produksi tambangnya indonesia hasilnya gapernah masyarakat sebenernya gausah sisi investor pemerintahnya perhatiin kota kalimantan,Negative
sapa bilang lu aja gw kaga wkwk blunder tuh pilihnlu tu kmrin nerusin ikn mnding bngun kota skrg ikutn gnti trs nih mna btul tukang sayur,Positive
capres gua pilih gua merahasiakan pilihan gua wish presiden plisss stop pembangunan ikn dann gua pilih pemimpin ngga anti kritik,Positive
investor membangun hotel bintang bintang ikn,Neutral
ikn nempatin gedung pejabat mending ratain sosial ekonomi bangun gedung dinikmatin pejabat,Negative
tom lembong adu data ikn dikantor luhut didepan publik tantangan luhut bahlil diterima tantangan prabowo waktu debat capres alasan kendala waktu nantang lawan debatnya ketemu,Neutral
penerapan teknologi keberlanjutan klaster industri kota negara,Neutral
apakha daftar gaji cpns ikn,Neutral
stanford university amerika serikat peletakan batu groundbreaking pusat ekosistem digital ikn,Neutral
kasih subsidi biaya pendidikan udh bener sihh otak lu jgn ikn,Negative
solusinya bangun ikn kereta cepat,Positive
gila apbn pendidikan diapain yak milih bangun ikn plus bansos putra mahkota,Negative
ribu org amp,Neutral
tenang sebentar lg dibayarin negara ikn kereta cepat food estate food estate ii subsidi kendaraan listrik penghapusan pajak penghapusan bea barang import mewah aja ditanggung,Negative
kalo ikn chinatown,Negative
kalo ikn jakarta kota perantau yaaa,Neutral
jokowi lupa ikn saking ngintil jateng terushehehe,Negative
amin lanjutkan ikn,Positive
cpns ditempatkan ikn panrb tunjangan,Neutral
video buktinya kalo jalan ikn truk jalan amblas diambil daerah antah barantah hahaha,Negative
peluang emas pemerintah prioritaskan seleksi cpns bergabung ikn,Neutral
kayaknya emang pernyataan meneruskan ikn deh,Neutral
tsm terstruktursistematismasif tahun aja berani tumbalkan org nyawa lipat lakukan reklamasi gagal ratusan triliun kalo ikn gatot ribuan triliun,Negative
kerjakerjakerja koq dibagi duit lapangan kerjanya loq dikasih aseng utangnya gede koq duit knp utang bangsa bermartabat koq dididik mental pengemis apbn defisit,Neutral
ikn karno melanjutkan pembangunan ikn meneruskan citacita karno,Negative
dinamai sepaku gag inisiator ikn tetep semoga terlaksana upacara agustus,Positive
msh mending apbn dikorupsi uangnya ikn bangunnya pake hutang negara dimakan trs rakyat disuruh bayar rela sih,Positive
sehat sehat mah prabowo tetep ditendang ikn jabodetabek mah gibran owi sekeluarga,Negative
pendirian udh kyk npc aja ni partai miris jga sih partai partai kuat pd zamannya udah sma psi merosot ni kursi demokrat dlu sya suka demokrat tpi maaf kota sya butuh dibangun indonesia merdeka,Neutral
salah martabak investor angka fantastis milyar fantastis si investor dubes korsel wakil ketua ikn hebat kanponakan paman usman,Negative
anies menang loe pilih besok kasih kabar keluarga handai taulan sanak famili teman loe loe tau dki jmn anies telur sembako disubsidi,Neutral
market percaya utang blm ikn blm makan siang gratis blm good estate gairah ihsg market pinjol lu,Negative
tidaaaak ikn jiiin jalan nasional lokasi ikn ikn liat ntar,Neutral
hah akses jalan ikn amblas diduga struktur ja,Negative
melayu dayak dr anak tirikan beda jawa anak emas kesempatan amin menarik niat menghentikan ikn dpt suara kalimantan,Positive
wkwkwk tau ah gelap dpt suara kalimantan harapan kalimantan ikn bunuh kalimantan maju kalimantan suara nasional berpengaruh dosa memilih,Negative
buang ikn gerombolannya armagendeng,Negative
tutup aja ikn,Negative
coba dana ikn alihkan biaya pendidikan ank indonesia semangat nuntut ilmu emang parahhhh zaman lurah ni hancur minah,Negative
lanjutin ikn program lainya jokowi memecah rakyatnya programnya penuh mesum tahun membangun hancur dg tahun mental mesumnya,Negative
negara kehabisan uang makan siang susu gratis dana desa melanjutkan ikn melanjutkan food estate internet gratis,Negative
design ikn,Neutral
temukan mensbatik ikn batik pria kemeja batik batik pria lengan batik pria modern batik anak muda seharga rp dapatkan shopee,Neutral
mo bilang you couldve so much more instead of ikn tersadar sekedar janji politiknya kalo berani ttd kontrak politik gaet suara semoga presidennya pulau jawa diperhatiin jgn pls,Negative
gila akun menyuarakan kalimantan bicara ikn tibatiba hilang pdhl an like deactive report,Neutral
kalo survei lsi denny ja kepastian ikn pembangunan kalimantan dilanjutkan,Positive
pgn terbuka berkolaborasi membangun ikn sektor infrastruktur gas bumi,Positive
dalah mbak diem aja udah nohh orng kalimantan merasakan dampak ikn mbaknya tinggal ikn tau bener,Negative
memperhatikan pelestarian lingkungan upaya melanjutkan pembangunan ikn ganjar mahfud presiden rakyat,Positive
