full_text,label
Wamen PU Pastikan Pembangunan IKN Berlanjut Bagaimana Progres Proyek Terkini? https://t.co/u1DDBKATD0,Neutral
@DokterTifa Harusnya DPR tanyain dong tuh ngapain si mukidi ngajak infuencer ke IKN..? Adakah manfaatnya..? Kalau cuma buat seneng2 dan makan2 doang buat apa..? Serasa ini negara konoha mmg punya dia tok..!,Negative
Sudah punya rumah klo pun mau beli lagi ga kan nunggu pensiun/pesangon juga. Untuk Jaminan Hari Tua? kan sudah ada potongannya makin bingung sendiri nyari alasan dah bilang aja negara lagi BOKEK dana buat IKN ga mencukupi negara perlu EASY MONEY. https://t.co/sHD50YiBCm,Negative
@tempodotco Di tabung di IKN ya mbah? Klo jadi uang balik gagal ya ilang,Negative
@hansssolo Jual tuh ikn klo laku,Negative
awalnya aku jg khawatir karena dr gerak geriknya 01 most likely ga lanjutin IKN (ya walaupun bilangnya mau dikaji ulang ya) tapi setelah nonton Desak Anies dan video beliau yg lain aku agak tercerahkan. ada 1 prinsip beliau yg selalu diaplikasiin di setiap konteks/kebijakan.,Neutral
@TeddGus SUDAH TEMPATI SAJA IKN SANA ...GAK USAH BALIK KE JAKARTA...BAWA SEMUA KELUARGA LOE...JAKARTA MUAK LIHAT DIRIMU..TOH SUDAH JADI BANGUNANNYA....,Negative
@ntyfs @radenrauf Sini ke IKN sudah,Neutral
Lanjut dikit hahahaha Smwa KRP (Kebijakan rencana prog) yg ada KLHS tp diuji cm dgn penilaian mandiri tanpa RPPLH sbg acuannya menurut gw layak dipertanyakan validitasnya Apalagi KRP gigantic macam IKN,Negative
@Satriyowes @Kanseulir Dah ke IKN belum.. dah yakin mangkrak?. Berita kalo mangkrak dimana.. wong blm pasti kok dah maki2 ..,Neutral
@kenzojaya_ @Mdy_Asmara1701 Lagian ikn yang nempatin juga gedung buat pejabat mending ratain sosial ekonomi lah daripada bangun gedung yang buat dinikmatin pejabat,Negative
@KompasTV IKN juga bukan milik Indonesia lagi. Sudah menjadi milik keluarga Jokowi,Negative
@UGM_FESS IKN dilanjut tp perlu dikaji ulang. Pak anies sbg akademisi/teknokrat gabisa memutuskan sebelum riset. mahasiswa harusnya paham ini kita blm bisa ambil kesimpulan sebelum ada data yg dibahas/dikaji pak anies udh berkali2 bilang apbn akan sesuai,Positive
Uku Mombasa madem hawajui kutumia their resources unakuta Aisha akona bonge la Tako Ikn anauza maandazi kando ya Barabara hajui wenzake uko juja iyo ndo inawalisha,Neutral
@JamalBoegis Apa yg di ucapkan Rocky Gerung sebelum proyek IKN terbukti bahwa akan banyak uang yg msk kantong pribadi makelar proyek hebat bang Rocky namun penguasa negeri sdh gerombolan setan TDK akan berubah pikiran nya menjadi manusia.,Negative
@farifairis @astroidblu @tanyarlfes Yang di Kaltim tuh ngenes banget cik Rumahnya digusur buat pembangunan IKN Udah gitu ganti ruginya ga sebanding pula,Negative
Kenapa pensiun nya bukan bangun rumah di IKN pak @jokowi kok malah karang anyar ?,Neutral
Ormas kegamaan dijadikan ujung tombak untuk melawan penduduk lokal yang tak terima tanah dan kekayaan alamnya diserobot. Sedangkan keuntungan terbesar dinikmati konglomerat yang mengoperasikan tambangnya. https://t.co/hYrvTrWXWO,Negative
Istana Presiden hingga Kantor Kementerian di IKN Teraliri Listrik dan Gas https://t.co/j0AV79sMk8 #beritasatu #news #berita,Positive
Dalam upaya mendukung pembangunan IKN Direktorat Kepolisian Peraitan dan Udara Polda Kaltim Gencar Melaksanakan Patroli Perairan. https://t.co/1RE6t3onr0,Positive
Tidak ada bukti pernyataan langsung dari Prabowo jika benar proyek IKN akan ia batalkan Selengkapnya di https://t.co/4zzZNMcifW #LawanHoax #TurnBackHoax #MAFINDO,Neutral
@TeddGus @FHISIP172393 20 Oktober su dekaaaat. Mau kasih keluar Keppres IKN ka tidak? Apa mau lempar bola panas ke Presiden baru? Feeling gw sih lu mau jawab YNTKTS.,Negative
@BBCIndonesia Mkan tuh IKN,Negative
https://t.co/65Dh7oWY4X Sejak Tahun 2022 Polri Telah Kirim 709 Personel ke IKN breaking news.......... https://t.co/MM8ielzZXW,Neutral
@ernestprakasa Saya berikan pangkat tolong jaga anakku megaraku dinastiku ikn ku bisnisku legalitasku,Negative
@Boediantar4 Patung jokowi mau dibangun di ikn biar kadrun kejang kejang... https://t.co/jD0fkq4u6J,Negative
@LambeResing loh jarene ngantor nang IKN ancen paten lambene,Neutral
PDN dan IKN N nya Ngawur,Negative
-org2 ga perlu lg merantau ke ibu kota semua. IKN lanjut itu sama artinya menciptakan 'Jakarta' baru. orang2 kedepannya ttep akan merantau kesana. yg puluhan taun mendatang bisa aja daerah IKN ngalamin isu iklim &amp,Negative
Ikn jalan teruss program2 ga prioritas kek kereta cepat makan siang gratis juga dipaksa maju. Kok bisa sih ga liat akar permasalahan dan bikin solusi yg tepat sasaran gituloh. Byk bgt mslh negara ini tuh kenapa malah ngedahuluin hal2 yg kurang prioritas dgn budget yg melangit:(,Negative
@rumaisha1407 Ckckckckck nyari temen you yeee... Wkwkkwk TMI mbak gue sekarnag ini kalo makan pake ikn bakar atau ayam sambal terasi juga w pakein kecap krn ketularn luuu wkwkkwwk,Negative
@jokowi Shat&amp,Neutral
Halo Sobat BUMN Waskita Karya berkontribusi aktif dalam pembangunan Ibu Kota Nusantara di Balikpapan Kalimantan Timur. Salah satu proyek yg sedang berjalan saat ini Jalan Tol IKN Segmen Simpang Tempadung - Jembatan Pulau Balang yang saat ini sudah mencapai progres 88 83%. https://t.co/Cjq50yduiK,Positive
@democrazymedia Dana haji konon katanya minta diikhlaskn utk IKN .. Tapera pun bukn tidak mungkin akn dialihkan utk yg lain lain... Dan rakyat cukup dikasih kata maaf dan ikhkaskan ... Rezim makin terang terangan perlihatkan taring yg kehausan .,Negative
@akunyakul 7x reinkarnasi menteng udah tenggelam belum? Mending beli di IKN ga sih? Wkwk,Neutral
@NenkMonica @bahlillahadalia Menanti teriakan masyarakat IKN,Negative
Kemajuan ikn Nusantara https://t.co/kejHB3pJWH,Positive
tersebut Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) bertugas untuk menyiapkan lahan yang clean and clear. Dalam kunjungan kerjanya ke Kawasan Inti Pusat Pemerintahan (KIPP) IKN pada Rabu (28/02/2024) Menteri ATR/Kepala BPN Agus Harimurti Yudhoyono https://t.co/cDx3sGLJm8,Positive
Pak @jokowi coba kesini pak ke bahodopi-morowali kota nikel dan hilirisasi yg bapak bangga2kan itu. Sering sekali mati lampunya dan sekali mati lampu lamanya minta ampun. Listrik masih minus disini eh.. malah bangun IKN. Di detik ini saja sudah mati lampu berjam-jam.,Negative
Halo #SobATRBPN Menteri ATR/Kepala BPN Agus Harimurti Yudhoyono (AHY) bersama Wamen ATR/Waka BPN Raja Juli Antony melakukan kunjungan kerja di Provinsi Kalimantan Timur tepatnya di Ibu Kota Nusantara atau IKN. Selengkapnya di https://t.co/8jpkxsFD1x,Neutral
Kata Pejabat PU Soal Alasan Prabowo Ogah Kebut Pembangunan IKN https://t.co/wPQsnSqZld,Neutral
Seriusan? Bayar influencer gitu terus kita dengerin komentarnya soal IKN? Wkwk,Negative
Dimanakah provinsi Daerah Khusus Ibukota Jakarta yang dimaksud oleh pasal 39 UU IKN karena menurut UU DKJ pasal 5 bahwa provinsi yang disebutkan diatas tersebut sudah 100% masuk ke dalam batas-batas wilayah Daerah Khusus Jakarta sehingga menurut Undang Undang ini saat ini https://t.co/05pWEOBciF,Neutral
